aX,aY,aZ,gX,gY,gZ
-0.024,-0.276,0.964,0.549,-2.441,1.343

-1.037,-0.563,2.430,34.485,77.637,4.456
-0.677,-0.685,2.474,-79.956,139.648,-44.434
0.313,0.153,1.307,-74.768,42.725,-41.504
0.395,0.341,0.916,15.442,-100.403,8.240
0.311,-0.015,0.706,21.118,-82.947,30.823
0.008,-0.223,0.748,13.916,-46.326,45.044
-0.180,-0.330,0.865,23.437,-44.128,43.762
-0.396,-0.477,1.011,17.944,-27.710,27.893
-0.370,-0.445,0.955,4.456,-12.329,15.381
-0.286,-0.376,0.866,-5.981,9.583,-5.493
-0.126,-0.275,0.808,-4.761,17.883,-11.902
-0.070,-0.241,0.911,-5.005,36.072,-18.494
-0.057,-0.233,0.969,-5.798,42.175,-20.386
-0.022,-0.200,1.052,-4.883,40.222,-21.912
0.004,-0.181,1.067,-1.709,24.353,-17.822
0.049,-0.154,1.062,0.122,15.442,-13.733
0.059,-0.149,1.053,1.892,6.958,-8.789
0.047,-0.162,1.033,5.127,-6.165,1.953
0.027,-0.180,1.026,6.897,-10.132,6.653
-0.026,-0.235,0.996,9.766,-15.320,13.062
-0.050,-0.263,0.973,10.315,-16.479,14.221
-0.079,-0.293,0.934,9.094,-14.648,11.780
-0.083,-0.299,0.930,7.935,-11.902,8.789
-0.079,-0.299,0.937,3.052,-3.906,2.991
-0.055,-0.273,0.965,-0.305,-0.183,1.404
-0.040,-0.250,0.973,-5.066,3.540,1.038
-0.026,-0.217,0.983,-5.249,3.601,1.282
-0.032,-0.212,0.989,-3.784,2.380,1.953
-0.039,-0.216,0.991,-2.075,0.122,2.686
-0.049,-0.230,0.984,-1.526,-1.831,2.625
-0.056,-0.229,0.975,0.488,-3.784,3.235
-0.052,-0.242,0.964,1.587,-3.113,3.113
-0.056,-0.247,0.964,1.709,-2.502,2.319
-0.058,-0.254,0.966,1.526,-0.549,0.305
-0.056,-0.255,0.967,0.122,0.427,-0.427
-0.054,-0.248,0.971,-0.305,0.916,-0.244
-0.048,-0.243,0.974,0.427,2.014,0.000
-0.042,-0.236,0.981,0.916,1.160,0.000
-0.046,-0.235,0.977,1.526,-0.793,-0.183
