aX,aY,aZ,gX,gY,gZ
-0.958,1.080,0.932,-17.456,-15.320,20.020
-1.108,1.223,0.977,-5.249,-21.179,24.414
-1.138,1.317,1.108,-1.221,-15.503,26.306
-1.090,1.314,1.093,-13.916,-19.897,29.602
-1.029,1.316,0.873,-26.123,-34.729,28.870
-0.939,1.329,0.689,-33.936,-57.861,19.897
-0.879,1.333,0.668,-26.978,-50.293,21.301
-0.755,1.244,0.659,-25.208,-40.527,32.532
-0.719,1.120,0.632,-24.536,-32.227,50.171
-0.697,0.943,0.574,-18.982,-26.489,84.534
-0.724,0.411,0.257,-4.456,-31.555,87.158
-0.882,-0.147,-0.183,71.655,-65.613,26.672
-0.886,-0.319,-0.300,130.493,-88.135,-35.828
-0.593,-0.567,-0.222,238.220,-83.740,-149.536
-0.313,-0.670,-0.014,245.850,51.086,-160.522
0.308,-0.846,0.588,222.656,131.897,-128.784
0.473,-0.912,0.860,176.819,169.983,-56.763
0.557,-1.131,0.937,152.283,122.681,-28.076
0.611,-1.355,0.666,123.291,26.672,4.211
0.723,-1.859,0.365,159.485,19.531,-10.010
0.718,-1.887,0.767,293.152,68.848,-95.703
0.686,-1.570,2.075,306.458,94.482,-112.793
0.703,-1.280,2.287,145.752,63.232,-58.044
0.545,-0.661,1.684,58.594,-25.513,-32.410
0.305,-0.410,1.186,55.908,-132.263,-27.710
-0.019,-0.213,1.009,93.872,-101.746,-31.921
0.155,-0.379,1.410,75.623,34.546,-9.338
0.239,-0.434,1.418,25.818,69.458,12.207
0.069,-0.469,1.019,-45.959,5.615,46.753
-0.158,-0.490,0.795,-51.331,-83.008,58.960
-0.473,-0.538,0.473,-50.598,-79.712,50.476
-0.488,-0.500,0.420,-51.514,-19.958,17.822
-0.391,-0.343,0.358,-47.485,5.188,6.165
-0.365,-0.292,0.358,-9.399,4.761,-4.639
-0.370,-0.345,0.575,14.648,-1.587,-7.935
-0.345,-0.375,0.734,28.381,12.878,-12.024
-0.245,-0.332,0.992,20.325,24.231,-10.437
-0.209,-0.297,1.034,5.432,26.062,0.977
-0.243,-0.315,0.968,6.470,12.573,6.897
-0.309,-0.358,0.919,18.616,-14.526,11.230
-0.416,-0.427,0.881,22.522,-15.320,9.583
-0.424,-0.438,0.898,21.851,2.075,2.014
-0.353,-0.422,0.979,17.944,11.047,-2.014
-0.271,-0.375,1.017,9.094,14.160,-4.517
-0.271,-0.357,1.004,7.446,6.226,-2.869
-0.330,-0.362,0.955,7.019,-7.812,0.061
-0.342,-0.370,0.946,6.592,-6.104,-1.160
-0.295,-0.363,0.977,6.226,4.333,-8.301
-0.256,-0.352,0.993,6.775,4.944,-13.245
-0.205,-0.331,0.984,6.226,0.427,-12.451
-0.205,-0.326,0.953,4.822,-10.864,-5.371
-0.248,-0.331,0.903,5.859,-14.221,-2.625
-0.267,-0.339,0.911,8.423,-9.521,-2.075
-0.263,-0.353,0.978,7.202,-2.380,-2.563
-0.246,-0.347,1.010,1.465,4.639,-3.235
-0.220,-0.334,0.995,-1.160,1.038,-2.441
-0.233,-0.329,0.948,-2.502,-11.536,1.282
-0.284,-0.328,0.867,-1.160,-14.221,2.686
-0.303,-0.327,0.860,-0.244,-7.568,4.272
-0.302,-0.350,0.901,-0.427,-2.625,4.395
-0.292,-0.355,0.923,-2.136,1.404,1.526
-0.262,-0.329,0.934,-3.479,0.671,-0.305
-0.254,-0.313,0.916,-5.371,-0.671,-0.488
-0.257,-0.303,0.885,-5.981,-4.211,2.747
-0.284,-0.308,0.853,-2.563,-6.226,2.991
-0.295,-0.335,0.869,4.395,-7.874,0.183
-0.286,-0.349,0.874,5.249,-6.897,-1.404
-0.260,-0.339,0.887,2.319,-3.052,-2.197
-0.251,-0.329,0.902,-0.122,-1.404,-1.282
-0.250,-0.321,0.926,-4.639,-2.441,1.770
-0.261,-0.323,0.913,-7.568,-9.033,5.554
-0.307,-0.349,0.847,-6.714,-12.207,6.592
-0.330,-0.359,0.828,-0.977,-11.414,3.235
-0.322,-0.363,0.844,0.244,-7.019,0.854
-0.308,-0.361,0.854,-1.709,0.183,0.366
-0.287,-0.354,0.880,-1.648,0.122,0.183
-0.283,-0.342,0.898,-0.916,-3.784,0.183
-0.295,-0.337,0.912,-1.343,-5.310,1.282
-0.306,-0.341,0.906,-2.625,-4.517,2.991
-0.319,-0.347,0.882,-2.319,-3.540,2.563
-0.317,-0.346,0.881,-0.244,-2.197,-0.183
-0.293,-0.334,0.896,-0.427,-0.366,-0.854
-0.285,-0.326,0.902,-1.709,0.854,0.732
-0.291,-0.333,0.909,-1.465,-2.808,1.282
-0.296,-0.336,0.921,-1.892,-2.930,0.793
-0.290,-0.329,0.929,-2.625,-1.648,0.183
-0.278,-0.315,0.935,-2.441,0.183,-0.366
-0.280,-0.311,0.926,-1.953,-0.916,-0.244
-0.287,-0.312,0.906,-2.197,-3.967,1.160
-0.308,-0.335,0.858,-2.502,-4.639,1.831
-0.319,-0.342,0.854,-1.648,-2.747,0.549
-0.315,-0.334,0.884,-0.854,0.061,-0.793
-0.294,-0.321,0.918,-0.916,4.578,-2.075
-0.290,-0.318,0.924,-1.160,2.319,-0.916
-0.299,-0.323,0.913,-1.709,0.061,-0.183
-0.306,-0.318,0.899,-2.319,-1.221,0.183
-0.310,-0.313,0.891,-1.770,0.427,0.122
-0.303,-0.317,0.894,1.160,2.747,-0.183
-0.291,-0.329,0.901,2.441,2.563,-0.183
-0.287,-0.339,0.906,2.136,2.136,0.061
-0.277,-0.343,0.917,0.061,2.136,0.122
-0.274,-0.339,0.922,-4.578,0.916,1.038
-0.287,-0.335,0.916,-6.409,0.122,2.075
-0.301,-0.333,0.903,-8.545,-0.854,4.272
-0.325,-0.346,0.875,-8.423,-1.465,5.005
-0.337,-0.348,0.866,-6.775,-1.892,4.395
-0.351,-0.348,0.859,-5.249,-1.282,2.563
-0.343,-0.352,0.863,-3.052,0.488,-0.854
-0.313,-0.332,0.883,-3.296,1.404,-1.892
-0.298,-0.318,0.891,-3.967,0.183,-1.587
-0.287,-0.313,0.891,-3.845,-2.625,-0.305
-0.295,-0.315,0.870,-2.747,-9.155,1.404
-0.325,-0.316,0.823,-0.610,-9.949,0.793
-0.322,-0.312,0.854,3.967,-2.808,-2.930
-0.312,-0.311,0.886,4.517,5.737,-3.540
-0.295,-0.316,0.939,3.540,7.629,-3.357
-0.285,-0.315,0.954,2.502,7.324,-3.052
-0.276,-0.311,0.956,0.549,2.380,-1.892
-0.279,-0.310,0.944,-0.977,0.000,-1.221

-0.984,0.842,1.073,-2.869,-19.104,21.545
-1.105,0.967,1.100,-15.076,-28.625,21.301
-1.309,1.227,1.111,-19.653,-39.673,19.531
-1.391,1.354,1.061,-33.997,-61.279,19.043
-1.505,1.534,0.851,-43.884,-60.852,21.606
-1.498,1.562,0.724,-67.261,-15.198,29.053
-1.397,1.552,0.500,-76.172,16.418,32.532
-1.341,1.504,0.424,-72.571,54.504,27.527
-1.245,1.219,0.348,-54.871,55.298,16.479
-1.262,0.994,0.310,22.400,0.427,-30.823
-1.232,0.542,0.176,68.237,-51.514,-64.392
-0.872,0.044,-0.062,109.192,-81.055,-86.426
-0.536,-0.263,-0.133,87.463,-35.645,-61.340
0.281,-1.246,-0.206,20.752,110.840,28.992
0.599,-1.832,-0.133,29.907,171.509,48.218
1.039,-2.312,0.534,221.436,112.732,-84.839
1.227,-2.336,1.150,412.476,-11.230,-223.938
1.385,-2.407,2.094,384.094,1.404,-194.824
1.248,-2.241,2.056,183.105,60.730,-71.960
0.747,-1.411,1.498,125.793,39.612,-43.762
0.536,-0.924,1.314,146.240,-6.897,-71.106
0.442,-0.214,1.419,159.485,6.348,-82.947
0.531,-0.093,1.549,101.501,58.228,-41.931
0.507,-0.156,1.503,55.603,54.810,-4.883
0.314,-0.273,1.309,-7.935,-24.597,59.204
-0.225,-0.506,0.699,-25.940,-58.838,74.890
-0.427,-0.623,0.421,-33.264,-54.016,61.157
-0.514,-0.710,0.186,-28.198,-34.851,38.513
-0.449,-0.618,0.179,-11.597,-16.663,-0.366
-0.290,-0.357,0.324,0.854,-12.817,-8.118
-0.228,-0.279,0.478,20.508,-1.099,-6.042
-0.189,-0.291,0.764,26.855,-1.465,-1.160
-0.226,-0.346,0.823,31.616,-17.883,8.850
-0.337,-0.427,0.802,29.175,-23.071,10.010
-0.355,-0.424,0.786,20.325,-12.512,4.700
-0.310,-0.365,0.840,16.724,-4.150,1.282
-0.280,-0.322,0.880,14.343,-0.061,3.357
-0.289,-0.315,0.942,15.747,-3.235,8.850
-0.330,-0.341,0.954,17.212,-8.545,17.334
-0.424,-0.391,0.954,16.663,-8.362,17.456
-0.458,-0.406,0.952,12.146,0.793,11.719
-0.474,-0.393,0.971,10.132,7.202,7.385
-0.451,-0.396,1.006,11.780,10.315,-0.977
-0.381,-0.409,1.041,11.108,7.141,-3.662
-0.356,-0.387,1.019,2.930,1.892,-3.296
-0.339,-0.336,1.027,-0.793,3.052,-2.258
-0.321,-0.318,1.034,-5.249,11.963,2.014
-0.285,-0.337,1.060,-3.906,9.644,2.563
-0.282,-0.350,1.034,3.540,-4.395,0.916
-0.304,-0.370,0.975,7.935,-10.010,-0.916
-0.305,-0.384,0.961,5.066,-8.850,-3.662
-0.293,-0.357,0.923,-1.404,-5.188,-2.319
-0.289,-0.345,0.909,-6.104,-3.174,1.831
-0.292,-0.360,0.919,-4.883,-3.906,2.441
-0.302,-0.353,0.927,-5.310,-1.709,2.136
-0.303,-0.326,0.930,-6.775,0.977,1.770
-0.296,-0.313,0.904,-9.399,2.625,3.235
-0.321,-0.318,0.828,-7.629,-0.793,4.700
-0.346,-0.334,0.811,0.793,-6.775,4.883
-0.377,-0.354,0.838,3.052,-5.005,3.601
-0.370,-0.346,0.869,2.808,2.808,-0.916
-0.320,-0.313,0.947,0.732,5.981,-2.869
-0.292,-0.293,0.976,-7.019,7.080,-1.526
-0.257,-0.275,0.949,-10.254,3.235,1.465
-0.273,-0.271,0.889,-8.545,-10.376,8.179
-0.341,-0.297,0.808,-3.357,-13.794,8.728
-0.358,-0.327,0.835,3.357,-5.066,3.784
-0.335,-0.323,0.865,1.099,7.568,-2.075
-0.263,-0.317,0.924,-0.488,9.216,-3.418
-0.243,-0.309,0.929,-4.761,2.380,-0.793
-0.269,-0.284,0.892,-5.981,-2.136,2.563
-0.293,-0.283,0.875,-3.540,-4.333,5.493
-0.316,-0.309,0.884,-0.488,-3.906,4.639
-0.318,-0.325,0.893,2.991,-3.479,1.953
-0.315,-0.323,0.886,2.563,-2.991,1.160
-0.307,-0.318,0.886,2.319,-2.136,0.732
-0.289,-0.322,0.915,2.563,-2.686,1.221
-0.284,-0.325,0.930,1.587,-3.784,2.319
-0.287,-0.321,0.920,-4.272,-5.920,4.639
-0.288,-0.314,0.901,-7.263,-6.104,5.310
-0.288,-0.308,0.878,-9.827,-5.249,6.836
-0.301,-0.309,0.855,-8.423,-6.042,6.958
-0.323,-0.326,0.855,-3.723,-7.996,5.859
-0.336,-0.334,0.857,-1.648,-8.606,4.700
-0.344,-0.327,0.841,0.122,-6.714,1.587
-0.345,-0.318,0.836,3.418,-2.686,-0.488
-0.339,-0.325,0.868,5.310,-0.916,-1.465
-0.337,-0.329,0.893,3.967,2.441,-1.160
-0.325,-0.326,0.924,1.770,3.235,-0.793
-0.316,-0.318,0.929,-0.671,0.793,0.305
-0.319,-0.313,0.913,-0.244,-1.831,1.160
